"AUDIT_ID","WORKFLOW_NAME","STEP_NAME","STEP_ORDER","INPUT_PARAMS","OUTPUT_RESULT","EXECUTION_TIME_MS","STATUS","EXECUTED_BY","EXECUTED_AT"
2,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=408","AI analysis completed","","SUCCESS","HOACHAU","2026-07-23 06:31:39.252"
101,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-23 06:34:02.949"
102,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=308","AI analysis completed","","SUCCESS","HOACHAU","2026-07-23 06:34:08.873"
3,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-23 06:35:57.507"
4,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=301","AI analysis completed","","SUCCESS","HOACHAU","2026-07-23 06:35:58.615"
5,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","HOACHAU","2026-07-23 06:35:59.718"
6,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=301,action=ESCALATE","Action executed","","SUCCESS","HOACHAU","2026-07-23 06:36:01.322"
103,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-23 06:42:18.181"
104,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=311","AI analysis completed","","SUCCESS","HOACHAU","2026-07-23 06:42:23.296"
105,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","HOACHAU","2026-07-23 06:42:24.095"
106,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=311,action=ESCALATE","Action executed","","SUCCESS","HOACHAU","2026-07-23 06:42:25.451"
7,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-23 06:55:33.799"
8,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=312","AI analysis completed","","SUCCESS","HOACHAU","2026-07-23 06:55:39.025"
9,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","HOACHAU","2026-07-23 06:55:39.690"
10,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=312,action=ESCALATE","Action executed","","SUCCESS","HOACHAU","2026-07-23 06:55:41.171"
11,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-23 07:09:01.573"
12,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=310","AI analysis completed","","SUCCESS","HOACHAU","2026-07-23 07:09:11.289"
13,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","HOACHAU","2026-07-23 07:09:12.216"
14,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=310,action=ESCALATE","Action executed","","SUCCESS","HOACHAU","2026-07-23 07:09:13.647"
201,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-25 19:53:55.679"
202,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=309","AI analysis completed","","SUCCESS","HOACHAU","2026-07-25 19:54:46.483"
203,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","HOACHAU","2026-07-25 19:54:47.280"
204,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=309,action=ESCALATE","Action executed","","SUCCESS","HOACHAU","2026-07-25 19:54:48.696"
205,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=7","{""status"":""SUCCESS"",""sap_document"":""5000000007"",""bl_id"":7}","","SUCCESS","HOACHAU","2026-07-25 19:54:49.820"
301,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:29:48.155"
302,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=608","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:29:53.320"
303,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:29:54.272"
304,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=608,action=ESCALATE","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:29:55.453"
305,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=16","{""status"":""SUCCESS"",""sap_document"":""5000000016"",""bl_id"":16}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:29:56.851"
401,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:44:17.508"
402,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=508","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:44:18.524"
403,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:44:19.368"
404,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=508,action=ESCALATE","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:44:20.606"
405,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=19","{""status"":""SUCCESS"",""sap_document"":""5000000019"",""bl_id"":19}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:44:22.155"
306,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:50:39.043"
307,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=2","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:51:13.720"
308,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:51:14.357"
309,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=2,action=ESCALATE","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:51:15.711"
310,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=21","{""status"":""SUCCESS"",""sap_document"":""5000000021"",""bl_id"":21}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:51:16.905"
311,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:51:26.785"
312,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=4","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:51:32.316"
313,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:51:32.914"
314,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=4,action=ESCALATE","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:51:34.260"
315,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=33","{""status"":""SUCCESS"",""sap_document"":""5000000033"",""bl_id"":33}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:51:35.442"
406,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:53:24.026"
407,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=5","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:53:29.599"
408,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:53:30.265"
409,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=5,action=ESCALATE","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:53:31.968"
410,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=35","{""status"":""SUCCESS"",""sap_document"":""5000000035"",""bl_id"":35}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:53:33.323"
411,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:54:56.517"
412,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:54:57.322"
413,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:54:58.186"
414,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:54:59.265"
415,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=39","{""status"":""SUCCESS"",""sap_document"":""5000000039"",""bl_id"":39}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:55:00.641"
316,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:57:39.719"
317,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:57:40.515"
318,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:57:41.048"
319,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:57:42.048"
320,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=46","{""status"":""SUCCESS"",""sap_document"":""5000000046"",""bl_id"":46}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 08:57:43.201"
321,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:02:24.270"
322,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:02:25.031"
323,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:02:25.561"
324,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:02:26.716"
325,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=51","{""status"":""SUCCESS"",""sap_document"":""5000000051"",""bl_id"":51}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:02:28.323"
416,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:07:12.308"
417,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=608","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:07:17.437"
418,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:07:18.135"
419,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=608,action=ESCALATE","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:07:19.716"
420,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=56","{""status"":""SUCCESS"",""sap_document"":""5000000056"",""bl_id"":56}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 09:07:21.125"
421,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:13:17.755"
422,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=508","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:13:18.742"
423,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:13:19.515"
424,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=508,action=ESCALATE","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:13:20.790"
425,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=60","{""status"":""SUCCESS"",""sap_document"":""5000000060"",""bl_id"":60}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:13:22.391"
426,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:13:55.894"
427,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=312","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:14:00.838"
428,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:14:01.526"
429,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=312,action=ESCALATE","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:14:03.111"
430,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=66","{""status"":""SUCCESS"",""sap_document"":""5000000066"",""bl_id"":66}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-29 23:14:04.385"
501,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-30 14:57:57.812"
502,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=311","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-30 14:58:08.450"
503,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-30 14:58:09.710"
504,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=311,action=ESCALATE","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-30 14:58:11.318"
505,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=76","{""status"":""SUCCESS"",""sap_document"":""5000000076"",""bl_id"":76}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-30 14:58:12.760"
601,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-31 08:11:55.075"
602,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=310","AI analysis completed","","SUCCESS","HOACHAU","2026-07-31 08:12:06.488"
603,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","HOACHAU","2026-07-31 08:12:07.281"
604,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=310,action=ESCALATE","Action executed","","SUCCESS","HOACHAU","2026-07-31 08:12:08.721"
605,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=88","{""status"":""SUCCESS"",""sap_document"":""5000000088"",""bl_id"":88}","","SUCCESS","HOACHAU","2026-07-31 08:12:10.072"
701,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 17:40:20.552"
702,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"","AI analysis completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 17:40:21.619"
703,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"","Marketplace screening completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 17:40:22.582"
704,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"","Action executed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 17:40:23.727"
705,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=97","{""status"":""SUCCESS"",""sap_document"":""5000000097"",""bl_id"":97}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 17:40:25.246"
606,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-31 19:15:55.912"
607,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=310","AI decision=ESCALATE | reason=High value, suspicious shipper name, and high-risk route require further investigation.","","SUCCESS","HOACHAU","2026-07-31 19:16:01.644"
608,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"SUSPICIOUS TRADING CO","Marketplace screening completed","","SUCCESS","HOACHAU","2026-07-31 19:16:03.336"
609,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=310,action=ESCALATE (decided by AI)","Action executed: ESCALATE | reason=High value, suspicious shipper name, and high-risk route require further investigation.","","SUCCESS","HOACHAU","2026-07-31 19:16:05.303"
610,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=98","{""status"":""SUCCESS"",""sap_document"":""5000000098"",""bl_id"":98}","","SUCCESS","HOACHAU","2026-07-31 19:16:07.050"
611,"INGEST_AND_DECIDE","EXTRACT_DOCUMENTS",1,"@LOGISTICS_STAGE","Complete. Processed: 0 | Errors: 0","","SUCCESS","HOACHAU","2026-07-31 20:12:43.840"
612,"INGEST_AND_DECIDE","PROMOTE_TO_OPERATIONAL",2,"BILL_OF_LADING_EXTRACTED","{""procedure"":""SYNC_EXTRACTED_TO_BILL_OF_LADING"",""documents_promoted"":13,""target"":""MENDIX_APP.AGENTS.BILL_OF_LADING""}","","SUCCESS","HOACHAU","2026-07-31 20:12:52.917"
613,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-31 20:12:55.611"
614,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=709","AI decision=ESCALATE | reason=Extraction confidence below 60/100 and failed validation, requiring human judgment.","","SUCCESS","HOACHAU","2026-07-31 20:13:00.135"
615,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"","Marketplace screening completed","","SUCCESS","HOACHAU","2026-07-31 20:13:00.770"
616,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=709,action=ESCALATE (decided by AI)","Action executed: ESCALATE | reason=Extraction confidence below 60/100 and failed validation, requiring human judgment.","","SUCCESS","HOACHAU","2026-07-31 20:13:02.250"
617,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=102","{""status"":""SUCCESS"",""sap_document"":""5000000102"",""bl_id"":102}","","SUCCESS","HOACHAU","2026-07-31 20:13:03.839"
618,"INGEST_AND_DECIDE","FRAUD_PIPELINE",3,"AUTO","{""workflow"":""FULL_PIPELINE_V2"",""status"":""COMPLETED"",""steps"":5,""alert_id"":709,""ai_decision"":""ESCALATE"",""ai_reason"":""Extraction confidence below 60/100 and failed validation, requiring human judgment."",""shipper_screened"":""n/a"",""sap_posting"":{""status"":""SUCCESS"",""sap_document"":""5000000102"",""bl_id"":102},""execution_time_ms"":10806,""audit_trail"":""WORKFLOW_AUDIT_LOG""}","","SUCCESS","HOACHAU","2026-07-31 20:13:04.136"
619,"INGEST_AND_DECIDE","EXTRACT_DOCUMENTS",1,"@LOGISTICS_STAGE","Complete. Processed: 2 | Errors: 0","","SUCCESS","HOACHAU","2026-07-31 20:14:54.433"
620,"INGEST_AND_DECIDE","EXTRACT_DOCUMENTS",1,"@LOGISTICS_STAGE","Complete. Processed: 0 | Errors: 0","","SUCCESS","HOACHAU","2026-07-31 20:16:02.429"
621,"INGEST_AND_DECIDE","PROMOTE_TO_OPERATIONAL",2,"BILL_OF_LADING_EXTRACTED","{""procedure"":""SYNC_EXTRACTED_TO_BILL_OF_LADING"",""documents_promoted"":2,""target"":""MENDIX_APP.AGENTS.BILL_OF_LADING""}","","SUCCESS","HOACHAU","2026-07-31 20:16:04.401"
622,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","HOACHAU","2026-07-31 20:16:06.928"
623,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"alert_id=711","AI decision=ESCALATE | reason=Extraction confidence below 60/100 and failed validation, underlying data cannot be trusted.","","SUCCESS","HOACHAU","2026-07-31 20:16:11.516"
624,"FULL_PIPELINE_V2","SANCTIONS_SCREEN",3,"LONG AN GARMENT FACTORY CO., LTD","Marketplace screening completed","","SUCCESS","HOACHAU","2026-07-31 20:16:12.343"
625,"FULL_PIPELINE_V2","AUTO_REMEDIATE",4,"alert_id=711,action=ESCALATE (decided by AI)","Action executed: ESCALATE | reason=Extraction confidence below 60/100 and failed validation, underlying data cannot be trusted.","","SUCCESS","HOACHAU","2026-07-31 20:16:14.216"
626,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=107","{""status"":""SUCCESS"",""sap_document"":""5000000107"",""bl_id"":107}","","SUCCESS","HOACHAU","2026-07-31 20:16:15.774"
627,"INGEST_AND_DECIDE","FRAUD_PIPELINE",3,"AUTO","{""workflow"":""FULL_PIPELINE_V2"",""status"":""COMPLETED"",""steps"":5,""alert_id"":711,""ai_decision"":""ESCALATE"",""ai_reason"":""Extraction confidence below 60/100 and failed validation, underlying data cannot be trusted."",""shipper_screened"":""LONG AN GARMENT FACTORY CO., LTD"",""sap_posting"":{""status"":""SUCCESS"",""sap_document"":""5000000107"",""bl_id"":107},""execution_time_ms"":11259,""audit_trail"":""WORKFLOW_AUDIT_LOG""}","","SUCCESS","HOACHAU","2026-07-31 20:16:16.105"
801,"INGEST_AND_DECIDE","EXTRACT_DOCUMENTS",1,"@LOGISTICS_STAGE","Complete. Processed: 0 | Errors: 0","","SUCCESS","CPH","2026-07-31 22:17:10.477"
802,"INGEST_AND_DECIDE","PROMOTE_TO_OPERATIONAL",2,"BILL_OF_LADING_EXTRACTED","{""procedure"":""SYNC_EXTRACTED_TO_BILL_OF_LADING"",""documents_promoted"":0,""target"":""MENDIX_APP.AGENTS.BILL_OF_LADING""}","","SUCCESS","CPH","2026-07-31 22:17:10.914"
803,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","CPH","2026-07-31 22:17:13.283"
804,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"no_open_high_alert","SKIPPED: no new HIGH-severity OPEN alert to investigate","","SKIPPED","CPH","2026-07-31 22:17:13.569"
805,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=111","{""status"":""SUCCESS"",""sap_document"":""5000000111"",""bl_id"":111}","","SUCCESS","CPH","2026-07-31 22:17:14.613"
806,"INGEST_AND_DECIDE","FRAUD_PIPELINE",3,"AUTO","{""workflow"":""FULL_PIPELINE_V2"",""status"":""COMPLETED"",""steps"":3,""alert_id"":null,""ai_decision"":""NONE"",""ai_reason"":""No open HIGH-severity alert required a decision in this run."",""shipper_screened"":""n/a"",""sap_posting"":{""status"":""SUCCESS"",""sap_document"":""5000000111"",""bl_id"":111},""execution_time_ms"":3556,""audit_trail"":""WORKFLOW_AUDIT_LOG""}","","SUCCESS","CPH","2026-07-31 22:17:14.892"
900,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-08-01 13:30:13.051"
901,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"no_open_high_alert","SKIPPED: no new HIGH-severity OPEN alert to investigate","","SKIPPED","MENDIX_SERVICE_USER","2026-08-01 13:30:13.508"
902,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=116","{""status"":""SUCCESS"",""sap_document"":""5000000116"",""bl_id"":116}","","SUCCESS","MENDIX_SERVICE_USER","2026-08-01 13:30:15.031"
903,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 23:47:27.367"
904,"FULL_PIPELINE_V2","AI_INVESTIGATE",2,"no_open_high_alert","SKIPPED: no new HIGH-severity OPEN alert to investigate","","SKIPPED","MENDIX_SERVICE_USER","2026-07-31 23:47:27.757"
905,"FULL_PIPELINE_V2","SAP_POST",5,"bl_id=145","{""status"":""SUCCESS"",""sap_document"":""5000000145"",""bl_id"":145}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 23:47:29.189"
906,"INGEST_AND_DECIDE","EXTRACT_DOCUMENTS",1,"@LOGISTICS_STAGE","Complete. Processed: 0 | Errors: 0","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 23:47:30.407"
907,"INGEST_AND_DECIDE","PROMOTE_TO_OPERATIONAL",2,"BILL_OF_LADING_EXTRACTED","{""procedure"":""SYNC_EXTRACTED_TO_BILL_OF_LADING"",""documents_promoted"":0,""target"":""MENDIX_APP.AGENTS.BILL_OF_LADING""}","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 23:47:30.927"
908,"FULL_PIPELINE_V2","DETECT_ANOMALIES",1,"AUTO","Scan completed","","SUCCESS","MENDIX_SERVICE_USER","2026-07-31 23:47:33.512"
