"ALERT_ID","ALERT_TYPE","SEVERITY","DESCRIPTION","DOCUMENT_IDS","STATUS","ASSIGNED_TO","CREATED_AT","RESOLVED_AT","RESOLUTION_NOTES","BL_ID","DETECTED_AT","AI_RISK_ASSESSMENT","AI_RECOMMENDED_ACTION","AI_DECISION_REASON","AI_ANALYZED_AT"
926,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8595 exceed the 99th percentile $8409 on CMDU00988","","RESOLVED","","2026-08-01 23:51:30.633","2026-08-02 00:26:23.823","CLEARED by AI decision - no fraud confirmed. Reason: Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognizable real businesses.",978,"2026-08-01 23:51:30.633","The key indicators are the cost-per-kg band (NORMAL_AT_OR_BELOW_5X_MEDIAN), sanctions matches (0), and recognizable counterparties (Nike Vietnam and Asian Foods LLC). The cost per kg is $0.5978, which is 2.34x the peer median of $0.2558, but still within the normal range. Both counterparties are recognizable real businesses, and there are no sanctions matches.","CLEAR","Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognizable real businesses.","2026-08-02 00:26:22.373"
927,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8591 exceed the 99th percentile $8409 on CAXU08712","","RESOLVED","","2026-08-01 23:51:30.633","2026-08-02 00:26:32.392","CLEARED by AI decision - no fraud confirmed. Reason: Cost per kg is within the normal range (2.01x the peer median of $0.2558) and there are no sanctions matches (0).",8706,"2026-08-01 23:51:30.633","The alert indicates a high-value anomaly, but the cost per kg is within the normal range (2.01x the peer median of $0.2558), and there are no sanctions matches. Both counterparties are recognizable real businesses. The key indicators are cost per kg ($0.5149) and sanctions matches (0).","CLEAR","Cost per kg is within the normal range (2.01x the peer median of $0.2558) and there are no sanctions matches (0).","2026-08-02 00:26:30.904"
928,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8586 exceed the 99th percentile $8409 on EGLV04268","","RESOLVED","","2026-08-01 23:51:30.633","2026-08-02 00:26:40.184","CLEARED by AI decision - no fraud confirmed. Reason: Cost per kg is within the normal range (1.58x the peer median of $0.2558), and there are no sanctions matches.",4262,"2026-08-01 23:51:30.633","The alert indicates a high-value anomaly, but the cost per kg is within the normal range (1.58x the peer median of $0.2558), and there are no sanctions matches. Both counterparties are recognizable real businesses. The route and charges are consistent with normal operations.","CLEAR","Cost per kg is within the normal range (1.58x the peer median of $0.2558), and there are no sanctions matches.","2026-08-02 00:26:38.777"
929,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8583 exceed the 99th percentile $8409 on CMDU06970","","RESOLVED","","2026-08-01 23:51:30.633","2026-08-02 00:26:47.626","CLEARED by AI decision - no fraud confirmed. Reason: Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.",6964,"2026-08-01 23:51:30.633","The key indicators are the cost-per-kg band (NORMAL_AT_OR_BELOW_5X_MEDIAN) and sanctions matches (0). Both counterparties are recognisable real businesses, and the cost per kg is within the normal range.","CLEAR","Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.","2026-08-02 00:26:46.202"
930,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8579 exceed the 99th percentile $8409 on ONEY08907","","RESOLVED","","2026-08-01 23:51:30.633","2026-08-02 00:26:56.947","CLEARED by AI decision - no fraud confirmed. Reason: Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.",8901,"2026-08-01 23:51:30.633","The key indicators are the cost-per-kg band (NORMAL_AT_OR_BELOW_5X_MEDIAN) and sanctions matches (0). Both counterparties are recognisable real businesses, and the cost per kg is within normal limits.","CLEAR","Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.","2026-08-02 00:26:55.564"
931,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8578 exceed the 99th percentile $8409 on CMDU07843","","RESOLVED","","2026-08-01 23:51:30.633","2026-08-02 00:27:11.769","CLEARED by AI decision - no fraud confirmed. Reason: Cost per kg is within normal range (1.67x the peer median of $0.2558) and no sanctions matches (0).",7837,"2026-08-01 23:51:30.633","The alert indicates a high-value anomaly, but the cost per kg is within the normal range (1.67x the peer median of $0.2558), and there are no sanctions matches. Both counterparties are recognizable real businesses. The key indicators are the cost per kg band (NORMAL_AT_OR_BELOW_5X_MEDIAN) and sanctions matches (0).","CLEAR","Cost per kg is within normal range (1.67x the peer median of $0.2558) and no sanctions matches (0).","2026-08-02 00:27:10.262"
916,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3856 vs peer median $0.2558 (9.3x) on YMLU05411","","INVESTIGATING","","2026-08-01 23:51:30.218","","",5405,"2026-08-01 23:51:30.218","The shipment's cost per kg is significantly higher than the peer median, indicating a potential anomaly. The cost per kg is 9.33x the peer median cost per kg, which is above the threshold for blocking. No sanctions or export-restriction list matches were found for the counterparties.","BLOCK","Cost per kg is 9.33x the peer median cost per kg.","2026-08-02 00:02:01.500"
917,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3599 vs peer median $0.2558 (9.2x) on ONEY01910","","INVESTIGATING","","2026-08-01 23:51:30.218","","",1900,"2026-08-01 23:51:30.218","The key indicator is the cost per kg, which is $2.3599, 9.23 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches. The elevated cost per kg warrants further investigation.","ESCALATE","Cost per kg is $2.3599, 9.23x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:04:07.758"
918,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3571 vs peer median $0.2558 (9.2x) on CMDU09798","","ESCALATED","","2026-08-01 23:51:30.218","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.3571, 9.21x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",9792,"2026-08-01 23:51:30.218","The key indicator is the cost per kg, which is $2.3571, 9.21 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches. The elevated cost per kg warrants further investigation.","ESCALATE","Cost per kg is $2.3571, 9.21x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:27:20.814"
919,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3519 vs peer median $0.2558 (9.2x) on CMDU01854","","ESCALATED","","2026-08-01 23:51:30.218","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.3519, 9.19x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",1844,"2026-08-01 23:51:30.218","The key indicator is the cost per kg, which is $2.3519, 9.19 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches. The elevated cost per kg warrants further investigation.","ESCALATE","Cost per kg is $2.3519, 9.19x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:27:31.034"
920,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3176 vs peer median $0.2558 (9.1x) on EGLV07994","","ESCALATED","","2026-08-01 23:51:30.218","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.3176, 9.06x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",7988,"2026-08-01 23:51:30.218","The key indicator is the cost per kg, which is $2.3176, 9.06 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches. The elevated cost per kg warrants further investigation.","ESCALATE","Cost per kg is $2.3176, 9.06x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:27:39.194"
921,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3155 vs peer median $0.2558 (9.1x) on MSKU00457","","ESCALATED","","2026-08-01 23:51:30.218","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.3155, 9.05x the peer median of $0.2558, falling into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",447,"2026-08-01 23:51:30.218","The key indicator is the cost per kg, which is $2.3155, 9.05 times the peer median of $0.2558. This falls into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band, which mandates escalation for human judgment. Both counterparties are recognizable real businesses, and there are no sanctions matches.","ESCALATE","Cost per kg is $2.3155, 9.05x the peer median of $0.2558, falling into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:27:48.930"
922,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3099 vs peer median $0.2558 (9x) on MSKU00156","","ESCALATED","","2026-08-01 23:51:30.218","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.3099, 9.03x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",146,"2026-08-01 23:51:30.218","The key indicator is the cost per kg, which is $2.3099, 9.03 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches. The elevated cost per kg warrants further investigation.","ESCALATE","Cost per kg is $2.3099, 9.03x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:27:59.524"
923,"COST_PER_KG_ANOMALY","MEDIUM","Cost/kg $2.3079 vs peer median $0.2558 (9x) on HLCU07242","","ESCALATED","","2026-08-01 23:51:30.218","","ESCALATED to compliance team by AI decision. Reason: Cost per kg is $2.3079, 9.02x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.",7236,"2026-08-01 23:51:30.218","The key indicator is the cost per kg, which is $2.3079, 9.02 times the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band. Both counterparties are recognizable real businesses, and there are no sanctions matches. The elevated cost per kg warrants further investigation.","ESCALATE","Cost per kg is $2.3079, 9.02x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:28:08.748"
889,"COST_PER_KG_ANOMALY","HIGH","Cost/kg $2.6114 is more than 5x the peer median $0.2558 on MSKU05777","","RESOLVED","","2026-08-01 23:39:37.574","2026-08-01 23:40:06.375","AUTO-BLOCKED by AI decision. Reason: Cost per kg ($2.6114) exceeds 5x the peer median ($0.2558).",5771,"2026-08-01 23:39:37.574","The cost per kg of $2.6114 exceeds the peer median by more than 5x, which is a significant anomaly. Both counterparties are recognizable businesses, and there are no sanctions matches.","BLOCK","Cost per kg ($2.6114) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:04.560"
890,"COST_PER_KG_ANOMALY","HIGH","Cost/kg $2.5679 is more than 5x the peer median $0.2558 on MSKU02234","","RESOLVED","","2026-08-01 23:39:37.574","2026-08-01 23:40:13.005","AUTO-BLOCKED by AI decision. Reason: Cost per kg ($2.5679) exceeds 5x the peer median ($0.2558).",2224,"2026-08-01 23:39:37.574","The cost per kg of $2.5679 exceeds the peer median by more than 5 times, which is a significant anomaly. Both counterparties are recognizable real businesses, and there are no sanctions matches.","BLOCK","Cost per kg ($2.5679) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:11.252"
891,"COST_PER_KG_ANOMALY","HIGH","Cost/kg $2.5302 is more than 5x the peer median $0.2558 on HLCU03706","","RESOLVED","","2026-08-01 23:39:37.574","2026-08-01 23:40:19.474","AUTO-BLOCKED by AI decision. Reason: Cost per kg ($2.5302) exceeds 5x the peer median ($0.2558).",3696,"2026-08-01 23:39:37.574","The cost per kg ($2.5302) exceeds 5x the peer median ($0.2558), indicating a significant anomaly in pricing.","BLOCK","Cost per kg ($2.5302) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:17.687"
892,"COST_PER_KG_ANOMALY","HIGH","Cost/kg $2.5099 is more than 5x the peer median $0.2558 on MSKU06661","","RESOLVED","","2026-08-01 23:39:37.574","2026-08-01 23:40:25.877","AUTO-BLOCKED by AI decision. Reason: Cost per kg ($2.5099) exceeds 5x the peer median ($0.2558).",6655,"2026-08-01 23:39:37.574","The cost per kg of $2.5099 exceeds 5x the peer median of $0.2558, indicating a significant anomaly.","BLOCK","Cost per kg ($2.5099) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:24.060"
893,"COST_PER_KG_ANOMALY","HIGH","Cost/kg $2.4153 is more than 5x the peer median $0.2558 on CMDU01128","","RESOLVED","","2026-08-01 23:39:37.574","2026-08-01 23:40:32.476","AUTO-BLOCKED by AI decision. Reason: Cost per kg ($2.4153) exceeds 5x the peer median ($0.2558).",1118,"2026-08-01 23:39:37.574","The cost per kg of $2.4153 exceeds the peer median by more than 5 times, which is a significant anomaly. Both counterparties are recognizable real businesses, and there are no sanctions matches.","BLOCK","Cost per kg ($2.4153) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:30.811"
894,"COST_PER_KG_ANOMALY","HIGH","Cost/kg $2.4123 is more than 5x the peer median $0.2558 on ONEY07640","","RESOLVED","","2026-08-01 23:39:37.574","2026-08-01 23:40:39.311","AUTO-BLOCKED by AI decision. Reason: Cost per kg ($2.4123) exceeds 5x the peer median ($0.2558).",7634,"2026-08-01 23:39:37.574","The cost per kg of $2.4123 exceeds the peer median by more than 5 times, which is a significant anomaly. Both counterparties are recognizable real businesses, and there are no sanctions matches.","BLOCK","Cost per kg ($2.4123) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:37.380"
895,"COST_PER_KG_ANOMALY","HIGH","Cost/kg $2.4114 is more than 5x the peer median $0.2558 on OOLU06885","","RESOLVED","","2026-08-01 23:39:37.574","2026-08-01 23:40:45.974","AUTO-BLOCKED by AI decision. Reason: Cost per kg ($2.4114) exceeds 5x the peer median ($0.2558).",6879,"2026-08-01 23:39:37.574","The cost per kg of $2.4114 exceeds the peer median by more than 5 times, which is a significant anomaly. Both counterparties are recognizable real businesses, and there are no sanctions matches.","BLOCK","Cost per kg ($2.4114) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:44.134"
896,"COST_PER_KG_ANOMALY","HIGH","Cost/kg $2.3879 is more than 5x the peer median $0.2558 on EGLV03114","","RESOLVED","","2026-08-01 23:39:37.574","2026-08-01 23:40:52.543","AUTO-BLOCKED by AI decision. Reason: Cost per kg ($2.3879) exceeds 5x the peer median ($0.2558).",3104,"2026-08-01 23:39:37.574","The cost per kg ($2.3879) exceeds 5x the peer median ($0.2558), indicating a significant anomaly.","BLOCK","Cost per kg ($2.3879) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:50.704"
873,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8700 exceed the 99th percentile $8409 on EGLV03096","","RESOLVED","","2026-08-01 23:36:24.630","2026-08-02 00:31:56.396","CLEARED by AI decision - no fraud confirmed. Reason: Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognizable real businesses.",3086,"2026-08-01 23:36:24.630","The key indicators are the cost-per-kg band (NORMAL_AT_OR_BELOW_5X_MEDIAN), sanctions matches (0), and recognizable counterparties (Vinamilk Co Ltd and Costco Wholesale). The cost per kg is $0.3346, which is 1.31x the peer median of $0.2558, and both counterparties are clear of sanctions.","CLEAR","Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognizable real businesses.","2026-08-02 00:31:54.995"
874,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8692 exceed the 99th percentile $8409 on APZU04094","","RESOLVED","","2026-08-01 23:36:24.630","2026-08-02 00:32:04.171","CLEARED by AI decision - no fraud confirmed. Reason: Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.",4084,"2026-08-01 23:36:24.630","The key indicators are the cost-per-kg band (NORMAL_AT_OR_BELOW_5X_MEDIAN) and sanctions matches (0). Both counterparties are recognisable real businesses, and the cost per kg is within normal limits.","CLEAR","Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.","2026-08-02 00:32:02.802"
875,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8691 exceed the 99th percentile $8409 on ONEY03224","","RESOLVED","","2026-08-01 23:36:24.630","2026-08-02 00:32:12.870","CLEARED by AI decision - no fraud confirmed. Reason: Cost per kg is within normal range ($0.5496, 2.15x median), both counterparties are recognizable, and no sanctions matches (0).",3214,"2026-08-01 23:36:24.630","The key indicators are the cost-per-kg band (NORMAL_AT_OR_BELOW_5X_MEDIAN), sanctions matches (0), and recognizable counterparties (Tan Hiep Phat and Metro AG). The cost per kg is $0.5496, which is 2.15x the peer median of $0.2558, but still within the normal range. Both counterparties are recognizable real businesses, and there are no sanctions matches.","CLEAR","Cost per kg is within normal range ($0.5496, 2.15x median), both counterparties are recognizable, and no sanctions matches (0).","2026-08-02 00:32:11.443"
876,"HIGH_VALUE_ANOMALY","HIGH","Charges $8675 exceed the 99th percentile $8409 on OOLU06357","","RESOLVED","","2026-08-01 23:36:24.630","2026-08-01 23:36:33.182","AUTO-BLOCKED by AI decision. Reason: Cost per kg ($2.1956) exceeds 5x the peer median ($0.2558).",6351,"2026-08-01 23:36:24.630","The cost per kg of $2.1956 exceeds the peer median by more than 5 times, which is a significant anomaly. Both counterparties are recognizable real businesses, and there are no sanctions matches. The high cost per kg is the key indicator of potential risk.","BLOCK","Cost per kg ($2.1956) exceeds 5x the peer median ($0.2558).","2026-08-01 23:36:31.289"
877,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8673 exceed the 99th percentile $8409 on EGLV03986","","RESOLVED","","2026-08-01 23:36:24.630","2026-08-02 00:32:21.266","CLEARED by AI decision - no fraud confirmed. Reason: Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.",3976,"2026-08-01 23:36:24.630","The key indicators are the cost-per-kg band (NORMAL_AT_OR_BELOW_5X_MEDIAN) and sanctions matches (0). Both counterparties are recognisable real businesses, and the cost per kg is within the normal range.","CLEAR","Sanctions matches = 0, cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and both counterparties are recognisable real businesses.","2026-08-02 00:32:19.432"
878,"HIGH_VALUE_ANOMALY","MEDIUM","Charges $8668 exceed the 99th percentile $8409 on OOLU03528","","RESOLVED","","2026-08-01 23:36:24.630","2026-08-02 00:33:19.445","CLEARED by AI decision - no fraud confirmed. Reason: Cost per kg is within the normal band (4.04x the median), and there are no sanctions matches.",3518,"2026-08-01 23:36:24.630","The alert indicates a high-value anomaly with a cost per kg of $1.0322, which is 4.04x the peer median of $0.2558. However, the pre-computed cost-per-kg band is NORMAL_AT_OR_BELOW_5X_MEDIAN, and there are no sanctions matches. Both counterparties are recognizable real businesses. Therefore, the alert can be cleared.","CLEAR","Cost per kg is within the normal band (4.04x the median), and there are no sanctions matches.","2026-08-02 00:33:17.910"
