"NOTIFICATION_ID","NOTIFICATION_TYPE","RECIPIENT","SUBJECT","BODY","SENT_AT","STATUS"
410,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-07-29 09:02:26.317","SENT"
308,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 5, Flagged: 0","2026-07-29 09:07:11.892","SENT"
309,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #608 on DEMO081923 needs human review","2026-07-29 09:07:19.422","SENT"
310,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 4, Flagged: 0","2026-07-29 23:13:17.384","SENT"
311,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-07-29 23:13:20.485","SENT"
312,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 3, Flagged: 0","2026-07-29 23:13:55.597","SENT"
313,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #312 on DEMO065053 needs human review","2026-07-29 23:14:02.809","SENT"
501,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 2, Flagged: 0","2026-07-30 14:57:57.368","SENT"
502,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #311 on DEMO064027 needs human review","2026-07-30 14:58:11.011","SENT"
601,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 1, Flagged: 0","2026-07-31 08:11:54.551","SENT"
602,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #310 on DEMO064205 needs human review","2026-07-31 08:12:08.448","SENT"
701,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-07-31 17:40:20.082","SENT"
702,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-07-31 17:40:23.412","SENT"
603,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 1, Flagged: 0","2026-07-31 19:15:55.521","SENT"
604,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #310 on DEMO064205 needs human review. AI reason: High value, suspicious shipper name, and high-risk route require further investigation.","2026-07-31 19:16:04.945","SENT"
605,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment DEMO064205 blocked due to fraud alert #310. AI reason: Shipper and consignee names indicate shell/front companies, and cost per kg exceeds peer median by over 3x.","2026-07-31 19:21:36.205","SENT"
606,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 3, High: 1, Flagged: 0","2026-07-31 20:12:55.258","SENT"
607,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #709 on EGLV2026015 needs human review. AI reason: Extraction confidence below 60/100 and failed validation, requiring human judgment.","2026-07-31 20:13:01.972","SENT"
608,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 1, High: 1, Flagged: 0","2026-07-31 20:16:06.623","SENT"
609,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #711 on EGLV2026015 needs human review. AI reason: Extraction confidence below 60/100 and failed validation, underlying data cannot be trusted.","2026-07-31 20:16:13.849","SENT"
800,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-07-31 22:17:13.025","SENT"
900,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-08-01 13:30:12.605","SENT"
901,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-07-31 23:47:26.997","SENT"
902,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-07-31 23:47:33.209","SENT"
1000,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-08-01 20:50:47.879","SENT"
1001,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 2, Flagged: 0","2026-08-01 21:47:25.212","SENT"
1002,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-08-01 21:47:28.438","SENT"
1003,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 1, Flagged: 0","2026-08-01 22:06:14.775","SENT"
1004,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-08-01 22:06:19.291","SENT"
1005,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-08-01 22:06:39.423","SENT"
1006,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-08-01 22:08:02.745","SENT"
1007,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-08-01 22:09:43.143","SENT"
1008,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-08-01 22:16:27.249","SENT"
1009,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 2, Flagged: 0","2026-08-01 22:16:56.760","SENT"
1010,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-08-01 22:17:00.290","SENT"
1011,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 1, Flagged: 0","2026-08-01 22:17:13.608","SENT"
1012,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","","2026-08-01 22:17:17.320","SENT"
1013,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 2, High: 2, Flagged: 2","2026-08-01 22:34:26.987","SENT"
1014,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #805 on MOCK22341301 needs human review. AI reason: Cost per kg exceeds 5x peer median and shipper name indicates a shell/front company.","2026-08-01 22:34:37.208","SENT"
1015,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 1, Flagged: 0","2026-08-01 22:34:59.276","SENT"
1016,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #806 on MOCK22341302 needs human review. AI reason: Total charges ($51,000) exceed the 95th percentile ($7,832), requiring human judgment.","2026-08-01 22:35:11.508","SENT"
1017,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 0, Flagged: 0","2026-08-01 22:36:35.974","SENT"
1018,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 10, High: 10, Flagged: 10","2026-08-01 22:39:39.183","SENT"
1019,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 10, Flagged: 0","2026-08-01 22:40:42.177","SENT"
1020,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #807 on EGLV00020 needs human review. AI reason: Cost per kg exceeds 5x the peer median and total charges exceed the 95th percentile.","2026-08-01 22:40:51.895","SENT"
1021,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 9, Flagged: 0","2026-08-01 23:26:18.230","SENT"
1022,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment YMLU00023 blocked due to fraud alert #808. AI reason: Cost/kg exceeds 5x the peer median ($7.9152 > 5 * $0.2559).","2026-08-01 23:26:25.206","SENT"
1023,"WORKFLOW_RUN","system","Fraud Scan Complete","New alerts: 0, High: 8, Flagged: 0","2026-08-01 23:26:55.422","SENT"
1024,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment OOLU00013 blocked due to fraud alert #809. AI reason: Cost/kg ($1.1915) exceeds 5x the peer median ($0.2559).","2026-08-01 23:27:02.106","SENT"
1025,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment YMLU00024 blocked due to fraud alert #810. AI reason: Cost/kg ($23.9577) exceeds 5x the peer median ($0.2559).","2026-08-01 23:27:08.895","SENT"
1026,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment EGLV00025 blocked due to fraud alert #811. AI reason: Cost/kg exceeds 5x the peer median ($2.5007 > 5 * $0.2559).","2026-08-01 23:27:16.466","SENT"
1027,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 9. Thresholds used - p99 charges $8409, p99 weight 44223kg, median cost/kg $0.2558.","2026-08-01 23:34:00.775","SENT"
1028,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 20. Thresholds used - p99 charges $8409, p99 weight 44223kg, median cost/kg $0.2558.","2026-08-01 23:34:18.396","SENT"
1029,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment OOLU08503 blocked due to fraud alert #849. AI reason: Cost per kg ($1.4079) exceeds the 95th percentile ($1.0692).","2026-08-01 23:34:24.982","SENT"
1030,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MAEU03225 blocked due to fraud alert #850. AI reason: Cost per kg ($2.0524) exceeds 5x the peer median ($0.2558).","2026-08-01 23:34:32.647","SENT"
1031,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment CAXU01631 blocked due to fraud alert #851. AI reason: Cost per kg ($1.8159) exceeds 5x the peer median ($0.2558).","2026-08-01 23:34:39.604","SENT"
1032,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment CAXU04156 blocked due to fraud alert #841. AI reason: Cost per kg ($3.2871) exceeds 5x the peer median ($0.2558).","2026-08-01 23:34:46.722","SENT"
1033,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment APZU01579 blocked due to fraud alert #842. AI reason: Cost per kg ($3.0871) exceeds 5x the peer median ($0.2558).","2026-08-01 23:34:53.345","SENT"
1034,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 25. Thresholds used - p99 charges $8409, p99 weight 44223kg, median cost/kg $0.2558.","2026-08-01 23:36:26.493","SENT"
1035,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment OOLU06357 blocked due to fraud alert #876. AI reason: Cost per kg ($2.1956) exceeds 5x the peer median ($0.2558).","2026-08-01 23:36:33.407","SENT"
1036,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment EGLV04225 blocked due to fraud alert #879. AI reason: Cost per kg ($2.0415) exceeds 5x the peer median ($0.2558).","2026-08-01 23:36:40.378","SENT"
1037,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment EGLV07578 blocked due to fraud alert #865. AI reason: Cost per kg ($2.755) exceeds 5x the peer median ($0.2558).","2026-08-01 23:36:47.023","SENT"
1038,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment OOLU03704 blocked due to fraud alert #866. AI reason: Cost per kg ($2.7405) exceeds 5x the peer median ($0.2558).","2026-08-01 23:36:53.836","SENT"
1039,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment OOLU02469 blocked due to fraud alert #867. AI reason: Cost per kg ($2.7212) exceeds 5x the peer median ($0.2558).","2026-08-01 23:37:00.760","SENT"
1040,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MAEU09993 blocked due to fraud alert #868. AI reason: Cost per kg ($2.7124) exceeds 5x the peer median ($0.2558).","2026-08-01 23:37:07.650","SENT"
1041,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 29. Thresholds used - p99 charges $8409, p99 weight 44223kg, median cost/kg $0.2558.","2026-08-01 23:39:40.370","SENT"
1042,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MAEU01374 blocked due to fraud alert #903. AI reason: Cost per kg ($1.1954) exceeds the 95th percentile ($1.0692).","2026-08-01 23:39:53.148","SENT"
1043,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment EGLV04067 blocked due to fraud alert #904. AI reason: Cost per kg ($1.7098) exceeds 5x the peer median ($0.2558).","2026-08-01 23:39:59.843","SENT"
1044,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MSKU05777 blocked due to fraud alert #889. AI reason: Cost per kg ($2.6114) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:06.602","SENT"
1045,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MSKU02234 blocked due to fraud alert #890. AI reason: Cost per kg ($2.5679) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:13.241","SENT"
1046,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment HLCU03706 blocked due to fraud alert #891. AI reason: Cost per kg ($2.5302) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:19.722","SENT"
1047,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MSKU06661 blocked due to fraud alert #892. AI reason: Cost per kg ($2.5099) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:26.094","SENT"
1048,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment CMDU01128 blocked due to fraud alert #893. AI reason: Cost per kg ($2.4153) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:32.689","SENT"
1049,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment ONEY07640 blocked due to fraud alert #894. AI reason: Cost per kg ($2.4123) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:39.542","SENT"
1050,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment OOLU06885 blocked due to fraud alert #895. AI reason: Cost per kg ($2.4114) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:46.209","SENT"
1051,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment EGLV03114 blocked due to fraud alert #896. AI reason: Cost per kg ($2.3879) exceeds 5x the peer median ($0.2558).","2026-08-01 23:40:52.749","SENT"
1052,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment EGLV01221 blocked due to fraud alert #869. AI reason: Cost per kg ($2.6736) exceeds 5x the peer median ($0.2558).","2026-08-01 23:41:01.780","SENT"
1053,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment YMLU03616 blocked due to fraud alert #870. AI reason: Cost per kg ($2.6564) exceeds 5x the peer median ($0.2558).","2026-08-01 23:41:08.714","SENT"
1054,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment EGLV02152 blocked due to fraud alert #871. AI reason: Cost per kg ($2.6551) exceeds 5x the peer median ($0.2558).","2026-08-01 23:41:16.972","SENT"
1055,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MAEU01757 blocked due to fraud alert #872. AI reason: Cost per kg ($2.6344) exceeds 5x the peer median ($0.2558).","2026-08-01 23:41:24.999","SENT"
1056,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment EGLV03941 blocked due to fraud alert #843. AI reason: Cost per kg ($3.0829) exceeds 5x the peer median ($0.2558).","2026-08-01 23:41:33.538","SENT"
1057,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment YMLU03136 blocked due to fraud alert #844. AI reason: Cost per kg ($3.0646) exceeds 5x the peer median ($0.2558).","2026-08-01 23:41:40.399","SENT"
1058,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment ONEY01940 blocked due to fraud alert #845. AI reason: Cost per kg ($3.032) exceeds 5x the peer median ($0.2558).","2026-08-01 23:41:48.186","SENT"
1059,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment APZU07368 blocked due to fraud alert #846. AI reason: Cost per kg ($2.9497) exceeds 5x the peer median ($0.2558).","2026-08-01 23:42:01.921","SENT"
1060,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment CMDU06591 blocked due to fraud alert #847. AI reason: Cost per kg ($2.9207) exceeds 5x the peer median ($0.2558).","2026-08-01 23:42:08.717","SENT"
1061,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MAEU07886 blocked due to fraud alert #848. AI reason: Cost per kg ($2.783) exceeds 5x the peer median ($0.2558).","2026-08-01 23:42:16.326","SENT"
1062,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 9. Thresholds used - p99 charges $8409, p99 weight 44223kg, median cost/kg $0.2558.","2026-08-01 23:51:32.224","SENT"
1063,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment APZU09208 blocked due to fraud alert #830. AI reason: Cost/kg is MORE THAN 10x the peer median ($2.6665 vs $0.2558).","2026-08-01 23:51:41.337","SENT"
1064,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment CMDU06733 blocked due to fraud alert #817. AI reason: Cost/kg is 15.8x the peer median.","2026-08-01 23:51:49.821","SENT"
1065,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment OOLU08621 blocked due to fraud alert #818. AI reason: Cost per kg is 14.45x the peer median.","2026-08-01 23:51:56.090","SENT"
1066,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment EGLV08157 blocked due to fraud alert #819. AI reason: Cost per kg is 14.15x the peer median.","2026-08-01 23:52:06.516","SENT"
1067,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MAEU08129 blocked due to fraud alert #820. AI reason: Cost/kg is 14.07x the peer median.","2026-08-01 23:52:13.070","SENT"
1068,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment CMDU09063 blocked due to fraud alert #821. AI reason: Cost/kg is MORE THAN 10x the peer median ($3.5815 vs $0.2558).","2026-08-01 23:52:19.613","SENT"
1069,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment CMDU01779 blocked due to fraud alert #822. AI reason: Cost per kg is 13.68x the peer median.","2026-08-01 23:52:25.755","SENT"
1070,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment HLCU00344 blocked due to fraud alert #823. AI reason: Cost per kg is 13.56x the peer median.","2026-08-01 23:52:31.827","SENT"
1071,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 1. Thresholds used - p99 charges $8409, p99 weight 44223kg, median cost/kg $0.2558.","2026-08-01 23:55:43.557","SENT"
1072,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment MAEU02771 blocked due to fraud alert #824. AI reason: Cost per kg is 13.55x the peer median.","2026-08-01 23:55:49.970","SENT"
1073,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 0. Thresholds used - p99 charges $8409, p99 weight 44223kg, median cost/kg $0.2558.","2026-08-01 23:57:43.526","SENT"
1074,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 0. Thresholds used - p99 charges $8409, p99 weight 44223kg, median cost/kg $0.2558.","2026-08-02 00:04:39.717","SENT"
1075,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #988 on YMLU03250 needs human review. AI reason: Cost per kg is $2.1421, 8.37x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:07:41.503","SENT"
1076,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #989 on CMDU07060 needs human review. AI reason: Cost per kg is $2.1375, 8.36x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:07:52.417","SENT"
1077,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #990 on MAEU07710 needs human review. AI reason: Cost per kg is $2.1258, 8.31x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:08:00.399","SENT"
1078,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #991 on MSKU05116 needs human review. AI reason: Cost per kg is $2.1011, 8.21x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:08:09.052","SENT"
1079,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #992 on MAEU04318 needs human review. AI reason: Cost per kg is $2.0953, 8.19x the median of $0.2558, falling in the ELEVATED band.","2026-08-02 00:08:16.743","SENT"
1080,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #993 on MSKU05348 needs human review. AI reason: Cost per kg is $2.0949, 8.19x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:08:25.900","SENT"
1081,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #994 on EGLV03327 needs human review. AI reason: Cost per kg is $2.0865, 8.16x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:08:34.001","SENT"
1082,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #995 on APZU06186 needs human review. AI reason: Cost per kg is $2.0696, 8.09x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:08:44.566","SENT"
1083,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #972 on EGLV05264 needs human review. AI reason: Cost per kg is 5.96x the peer median, falling into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:09:22.226","SENT"
1084,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #974 on APZU04176 needs human review. AI reason: Cost per kg is $1.5861 (6.2x the peer median of $0.2558), placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band, which mandates escalation for human judgment.","2026-08-02 00:09:44.156","SENT"
1085,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #978 on YMLU00588 needs human review. AI reason: Cost per kg is 6.54x the peer median, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:10:17.488","SENT"
